session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts,imu0_ax_f,imu0_gx_f,imu0_ay_f,imu0_gy_f,imu0_az_f,imu0_gz_f,imu1_ax_f,imu1_gx_f,imu1_ay_f,imu1_gy_f,imu1_az_f,imu1_gz_f
20260218_175550,0,0.0,0.39,-7.79,-5.452,0.044869565217391306,-0.6873277591973244,-0.3778896321070234,-1.338,-10.073,0.365,-0.14478260869565215,-0.38916722408026755,0.008595317725752512,466057,0.3634335158429384,0.04140781245068379,-7.803632448565815,-0.6619022577757928,-5.443994397132263,-0.3654741006062086,-1.3612403428355506,-0.14581906974302378,-10.07834735286279,-0.38120706685495037,0.3788292153946157,0.008487363207122308
20260218_175550,1,0.01,0.13,-7.805,-5.956,-0.0661304347826087,-0.6913277591973244,-0.3598896321070234,-1.204,-10.049,-0.214,-0.13078260869565217,-0.4451672240802676,0.010595317725752507,466067,0.23799396920109087,0.00867882777328369,-7.869795087914612,-0.482100354601663,-5.48158203633312,-0.27783414611710344,-1.1905403463501258,-0.12219624489012487,-9.98300469959825,-0.3016695668893561,0.09624206617786794,0.017922128452021423
20260218_175550,2,0.01,-0.078,-7.874,-6.244,-0.11713043478260869,-0.5583277591973244,-0.2858896321070234,-0.72,-9.906,-0.343,-0.09378260869565218,-0.46316722408026756,0.018595317725752507,466077,0.12188525834039426,-0.02150716635216394,-7.938503113447421,-0.3156654285699597,-5.507628589518082,-0.1954695108012008,-1.0254319990872571,-0.09975903101536257,-9.89313066936004,-0.22636455872273445,-0.17212940969666715,0.027632134757843103
20260218_175550,3,0.01,-0.167,-7.786,-6.13,-0.08213043478260869,-0.3483277591973244,-0.18788963210702342,-0.035,-9.711,-0.589,-0.051782608695652176,-0.3701672240802676,0.026595317725752507,466087,0.023220385641767018,-0.04724735752176127,-8.01124556659956,-0.17193457318971847,-5.5142314468325795,-0.12166363109039419,-0.8744036660264226,-0.07971750695305378,-9.81471964656983,-0.15821281937165596,-0.411154041040954,0.03792106075635717
20260218_175550,4,0.01,-0.193,-7.661,-6.141,-0.03913043478260869,-0.1103277591973244,-0.08888963210702341,0.268,-9.666,-0.865,-0.013782608695652175,-0.19816722408026757,0.03959531772575251,466097,-0.05120307260917356,-0.06708591450892289,-8.08739410233378,-0.05864855572291585,-5.498046857570762,-0.059133482725513005,-0.7431446228329964,-0.06293620912549382,-9.752483906256868,-0.09987701261373326,-0.6086071538139664,0.04901023287394021
20260218_175550,5,0.01,-0.096,-7.749,-5.775,-0.04813043478260869,0.1316722408026756,0.022110367892976587,-0.069,-9.486,-0.919,0.016217391304347826,0.02583277591973244,0.05459531772575251,466107,-0.09657692143175019,-0.08015257730168654,-8.163851266849852,0.018844851145206114,-5.4610997970136355,-0.009754556523194562,-0.633910425353712,-0.04982260923116866,-9.70935875413248,-0.053510686942877056,-0.7561783358959849,0.06100659666877466
20260218_175550,6,0.01,-0.068,-8.049,-5.579,-0.0731304347826087,0.2756722408026756,0.0951103678929766,-0.726,-9.549,-0.912,-0.007782608695652173,0.18483277591973243,0.07759531772575251,466117,-0.11053823624044129,-0.08623180065443153,-8.235272858209091,0.05832820958820742,-5.410432443284357,0.025703789916892036,-0.5458006233989129,-0.04029319265182317,-9.686248765198783,-0.02042043383254705,-0.8499490592201007,0.07388788870798135
20260218_175550,7,0.01,0.208,-8.256,-5.099,-0.0721304347826087,0.2796722408026756,0.12511036789297658,-1.265,-9.649,-0.895,-0.030782608695652178,0.23183277591973245,0.0965953177257525,466127,-0.09341246864820811,-0.08576808384355408,-8.294878984172984,0.06124367682852019,-5.356681301278356,0.04777716263692181,-0.4758389583717916,-0.033825457921536135,-9.68205731687989,-0.0007347795454134453,-0.8903283970621574,0.08750454825632883
20260218_175550,8,0.01,0.507,-8.53,-4.927,-0.1391304347826087,0.3656722408026756,0.2061103678929766,-1.371,-9.778,-0.802,-0.06078260869565218,0.18283277591973243,0.10759531772575251,466137,-0.048290067798130026,-0.07981502284004924,-8.335736583673688,0.03285194506077519,-5.311895436740745,0.0583756182257456,-0.4204845499360745,-0.029586713256198823,-9.693992170765679,0.006800899826359252,-0.8815177454211671,0.10159470668424427
20260218_175550,9,0.01,-0.444,-8.88,-4.853,-0.1491304347826087,0.42967224080267563,0.2451103678929766,-1.17,-9.831,-0.743,-0.07078260869565217,0.09683277591973244,0.11859531772575249,466147,0.0190168458410525,-0.06993103407542312,-8.352271735019537,-0.018106671886446796,-5.287052591860951,0.06066984774553541,-0.3770560767742738,-0.026612917793070973,-9.718084072448557,0.004804968118802048,-0.8306388878331296,0.11580704725288203
