session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts,imu0_ax_f,imu0_gx_f,imu0_ay_f,imu0_gy_f,imu0_az_f,imu0_gz_f,imu1_ax_f,imu1_gx_f,imu1_ay_f,imu1_gy_f,imu1_az_f,imu1_gz_f
20260218_195716,0,0.0,1.926,-8.56,-4.27,0.021593959731543624,0.018134228187919463,-0.039979865771812076,0.553,-9.778,0.206,0.0025369127516778594,-0.07060402684563759,0.04161409395973154,143079,1.9213798053806759,0.02134324933027664,-8.565996487608416,0.022785709264673222,-4.27104264305246,-0.036722384341119234,0.5401532051322601,0.002708574858279952,-9.780470793615066,-0.06678018699589798,0.2060172364394727,0.040880496711655515
20260218_195716,1,0.01,1.797,-8.59,-4.365,0.018593959731543624,0.047134228187919465,-0.02997986577181208,0.379,-9.894,0.118,0.0025369127516778594,-0.023604026845637588,0.04961409395973154,143089,1.9333167258826707,0.019174627549970295,-8.623679604396358,0.024308931108398584,-4.2249777897607785,-0.02771794304641031,0.48868846399508165,0.008178852460660328,-9.782024080687824,-0.035875249861901166,0.23779498315389752,0.04266371700158708
20260218_195716,2,0.01,1.851,-8.69,-4.216,0.03859395973154363,0.03413422818791946,-0.03297986577181208,0.221,-9.826,0.287,0.02753691275167786,0.05039597315436242,0.05061409395973154,143099,1.9421575705234115,0.016989621648228356,-8.67753083754232,0.024672596790474045,-4.180897912250133,-0.01944164018522059,0.44070302088649815,0.012966036784625191,-9.782950833453961,-0.008222946927904977,0.2668601672325349,0.04427299992023362
20260218_195716,3,0.01,1.814,-8.627,-4.116,0.018593959731543624,0.024134228187919462,-0.026979865771812078,0.229,-9.751,0.243,0.042536912751677855,0.09839597315436241,0.04661409395973154,143109,1.9448387436809187,0.01477240434249142,-8.725339367212962,0.02356083841790929,-4.140774970488256,-0.012095136745963285,0.3972677925055144,0.016505810442763096,-9.78304831060111,0.01402788731230843,0.29088727754318694,0.0455383986086557
20260218_195716,4,0.01,2.006,-8.736,-4.135,0.0015939597315436232,-0.009865771812080537,-0.02797986577181208,0.256,-9.714,0.351,0.042536912751677855,0.10739597315436242,0.043614093959731544,143119,1.9389179151904483,0.012506486101941753,-8.765282258254768,0.020732487895242013,-4.10635900961267,-0.005823422064937789,0.35876308821042885,0.018404502027338884,-9.782152082255731,0.02947740471880345,0.30802736326887215,0.04631705266127332
20260218_195716,5,0.01,2.057,-8.766,-4.069,0.008593959731543624,-0.008865771812080536,-0.007979865771812075,0.341,-9.72,0.317,0.03353691275167786,0.0893959731543624,0.04261409395973154,143129,1.9228445690381955,0.010168310005487874,-8.796060187411555,0.016034870006819333,-4.079055885993196,-0.0006871997966505744,0.32480853811908583,0.018487067580428125,-9.780137510287462,0.03767244562317352,0.317103109085457,0.04649396792169304
20260218_195716,6,0.01,2.043,-8.82,-3.965,-0.002406040268456377,-0.003865771812080536,0.014020134228187917,0.406,-9.827,0.346,0.015536912751677859,0.0593959731543624,0.04461409395973154,143139,1.8961656556146167,0.0077210996285942725,-8.817041813895223,0.00942776050591843,-4.059812733153854,0.003373768241426352,0.29436433950185353,0.016808427142222214,-9.776930496089383,0.03915615874967669,0.31775334854559795,0.04597928997635999
20260218_195716,7,0.01,1.994,-8.887,-4.0,-0.010406040268456377,-0.004865771812080536,0.031020134228187918,0.444,-9.801,0.446,0.00553691275167786,0.016395973154362406,0.04661409395973154,143149,1.859605350343275,0.005112907353421537,-8.828391908948651,0.0010183245392253043,-4.049035167871327,0.00657807615148924,0.2659593659785099,0.013627896781248785,-9.772534296603917,0.035364924040343165,0.31049630057618965,0.044703835508530076
20260218_195716,8,0.01,1.89,-8.972,-4.053,-0.001406040268456376,-0.005865771812080536,0.039020134228187925,0.383,-9.741,0.39,0.0025369127516778594,0.00039597315436240565,0.04061409395973154,143159,1.814969611666733,0.0022820037288668574,-8.83114313089954,-0.008898399136423239,-4.046558647584121,0.00932776331324411,0.2379692791746391,0.009354086162624705,-9.76706801157225,0.028395277248680587,0.29668421860933514,0.04261439892569535
20260218_195716,9,0.01,1.756,-8.975,-4.057,0.012593959731543624,0.008134228187919463,0.039020134228187925,0.219,-9.764,0.328,-0.012463087248322142,-0.0016040268456375961,0.03961409395973154,143169,1.7648643237556965,-0.0008298749883849167,-8.827165311497296,-0.01980644901092247,-4.051685609771257,0.01220667783909707,0.20886995164162794,0.004472799474031457,-9.760803230480438,0.02068363423897956,0.2783352107134123,0.03966967920233667
20260218_195716,10,0.01,1.613,-8.919,-4.117,0.007593959731543623,0.03413422818791946,0.039020134228187925,0.03,-9.773,0.165,-0.01046308724832214,-0.0016040268456375961,0.03861409395973154,143179,1.7122661095168359,-0.0042593249603927585,-8.818995892928966,-0.03096192141652019,-4.06328379437576,0.015941346119133133,0.17742429548085692,-0.0005279716529770354,-9.754183394145214,0.01465093635391279,0.25785192272945745,0.035837096286724796
20260218_195716,11,0.01,1.499,-8.773,-4.089,0.009593959731543623,0.04513422818791946,0.03202013422818792,-0.01,-9.82,0.154,-0.012463087248322142,-0.019604026845637584,0.03461409395973154,143189,1.6600294532729343,-0.008003716834759077,-8.809523702869535,-0.041431542870327236,-4.079927004936122,0.02132170316994717,0.14280597113153745,-0.005223563538886956,-9.747812920012484,0.012363632917285405,0.2376675979725467,0.03109047931781012
20260218_195716,12,0.01,1.417,-8.711,-4.065,-0.009406040268456376,0.007134228187919463,0.01802013422818792,0.005,-9.846,0.095,-0.018463087248322144,-0.03560402684563759,0.027614093959731544,143199,1.6104376254446244,-0.012010252543474209,-8.801560760548515,-0.050190253437345275,-4.100053880581002,0.029089618716103053,0.10469650508525291,-0.009300065604057196,-9.742406750764584,0.015255275567933765,0.21988579963382807,0.025408608940025695
20260218_195716,13,0.01,1.43,-8.643,-4.132,-0.030406040268456374,-0.08286577181208053,2.013422818791799e-05,-0.011,-9.692,0.128,-0.0034630872483221407,-0.006604026845637587,0.013614093959731541,143209,1.5648993355909964,-0.016175129058189103,-8.797379166041052,-0.056276248201721855,-4.122123095589206,0.03981351577207914,0.06339471567802714,-0.012579751321102178,-9.738697740449375,0.02394277604250466,0.2059874553685832,0.018774936451795957
20260218_195716,14,0.01,1.525,-8.602,-4.202,-0.03240604026845638,-0.16686577181208054,-0.0059798657718120735,0.037,-9.618,0.148,-0.004463087248322142,0.02039597315436241,-0.0013859060402684597,143219,1.5238577539522578,-0.020352210197842394,-8.798314714938229,-0.05897985785977988,-4.144749538539611,0.05377468531850219,0.019948443148598127,-0.015025066664007821,-9.73731276093546,0.03815919799055906,0.19666298198083493,0.011179439463134386
20260218_195716,15,0.01,1.568,-8.626,-4.178,-0.03440604026845638,-0.18586577181208053,0.021020134228187923,0.209,-9.675,0.215,-0.016463087248322142,0.017395973154362407,-0.002385906040268459,143229,1.4869230732756031,-0.024367251579231683,-8.80453389395968,-0.05802111837078427,-4.166810654864961,0.07089232412022413,-0.023725679461337263,-0.016724914285753522,-9.738645470021448,0.056810755661683615,0.1917943108155195,0.0026240409831473285
20260218_195716,16,0.01,1.492,-8.795,-4.204,-0.024406040268456376,-0.14686577181208052,0.06702013422818791,0.312,-9.696,0.251,-0.02046308724832214,0.03339597315436241,-0.00538590604026846,143239,1.4531819697983885,-0.02803301887676977,-8.815025236634094,-0.05366138350826498,-4.187515496364842,0.09070783566784095,-0.0648062171651222,-0.017868160574168537,-9.742763223101921,0.07815027272632502,0.1905738568914526,-0.006867434783181713
20260218_195716,17,0.01,1.512,-9.001,-4.12,-0.026406040268456377,-0.08886577181208052,0.15202013422818794,0.114,-9.819,0.229,-0.03246308724832214,0.11339597315436242,-0.009385906040268458,143249,1.4215962525806465,-0.031162745268617467,-8.827818629817193,-0.046705274708926256,-4.20643438084382,0.11243493949679616,-0.0996964430669996,-0.01870859147021952,-9.749378312415043,0.10004412000177891,0.19171684491964683,-0.017235488100747518
20260218_195716,18,0.01,1.505,-9.014,-4.193,-0.017406040268456376,0.033134228187919466,0.1810201342281879,-0.286,-9.764,0.296,-0.026463087248322137,0.1983959731543624,-0.01838590604026846,143259,1.3913889469721397,-0.033582647580721554,-8.84037485138039,-0.03837929919614799,-4.223494382519583,0.13506469066768473,-0.12436878052309186,-0.01952419417087932,-9.757892546181793,0.12029540718891524,0.1937078764150043,-0.0283703013885833
20260218_195716,19,0.01,1.49,-8.952,-4.257,-0.018406040268456377,0.06713422818791948,0.19602013422818793,-0.453,-9.703,0.279,-0.012463087248322142,0.2243959731543624,-0.035385906040268464,143269,1.362326832697688,-0.035146476669919505,-8.850045644313706,-0.030111065695109435,-4.23894995622632,0.15750041883672172,-0.13490226767455568,-0.020573270398220527,-9.767502203453814,0.13697457936029286,0.19502435275227462,-0.040100599881208156
